,0
0,94.49905318956307
1,271.3786114982067
2,180.9462109120747
3,412.87448411118675
4,-563.7005717870788
5,6.46887575429092
6,-21.815528516744664
7,-273.69568648917135
8,271.18015963236394
9,119.6011511793977
10,316.12017223248364
11,300.89312518603583
12,75.23816823478931
13,-168.4813179057624
14,493.9068372132975
15,-505.1234642574781
16,456.56049517293184
17,-29.381995941456154
18,162.59791805021214
19,25.556130458310676
20,66.53752109142874
21,-1547.559629727407
22,-5693.579457706478
23,-33.38507008231795
24,-209.28654271554632
25,56.99452319601547
26,324.1360482707229
27,271.86658061524884
28,193.24295295536177
29,20.36170012994488
30,229.51609379452393
31,337.95679047258403
32,-103.58547201110818
33,479.9273306829003
34,475.68361237682467
35,351.58222564319175
36,-5236.67462527434
37,-848.8148317196277
38,482.20954344372
39,-65.70302962813182
40,302.7202718290415
41,-315.2991422103917
42,297.70015011613407
43,123.08865920757027
44,-98.57783212596024
45,-29.65170423271917
46,-1885.4450305520982
47,81374.31555625491
48,6762.400161391914
49,-3680.1398952154727
50,-8855.48756320959
51,13730.096032685617
52,-235.6535374279532
53,1241.943979545436
54,-26313.673594847132
55,10719.321020792822
56,-3670.91481449033
57,-10670.866261930862
58,-49.766398952703184
59,-1502.284493186249
60,-10129.871496833317
61,4128.950817200169
62,727.3197901216159
63,-871.355294182159
64,-1954.5131329759834
65,901.1581291231402
66,-8169.7636233043995
67,575.9029110272397
68,-2754.6389966767433
69,-265.49754141928
70,-28221.937458128225
71,475.6138031793602
72,-212.06894345612295
73,604.6984501241695
74,-390.79611359979543
75,-624.9852980614799
76,-3202.1683498308375
77,-860.0106077380101
78,-751.2721078892986
79,-720.9817656692634
80,-1440.6137860291142
81,-275.38068337196074
82,-3341.350546144553
83,-5140.475492072113
84,290.6011743161689
85,358.21378155241587
86,214.62763992076302
87,2127.1302348688405
88,293.9244354886458
89,-8002.7187424177255
90,-824.2970408989013
91,100.19940485784821
92,-588.4007340506846
93,679.1029714537068
94,-255.4864841819416
95,155.1164586196232
96,164.69844497402573
97,22.606930879534985
98,-30.71816929236192
99,2372.524992246003
100,-596.7239366490799
101,-421.3864078055624
102,334.37375905415036
103,-184.73105212780405
104,1034.788480096372
105,614.1262191443075
106,-310.5287206072625
107,416.4013653768328
108,116.20376532782907
109,1413.6110800636482
110,103.02918157411285
111,-95.7143435007896
112,370.8717464327497
113,-105.16069555743971
114,197.31050185374738
115,-399.99218230676445
116,-3815.196201584925
117,196.9198264824826
118,794.5950134323496
119,304.7888750627853
120,1301.4789605951953
121,-385.2865394205114
122,1490.466590705083
123,-464.76350639474254
124,701.6309242850116
125,-430.81495571953667
126,-8269.814840729225
127,-7496.635297963205
128,-393.94468133336005
129,299.80317913587953
130,-1005.07808308732
131,9518.643961590482
132,778.4113420257275
133,60.558249151921416
134,2803.3355406988176
135,571.3794007163399
136,-615.967569942098
137,-239.54694178943987
138,693.7278267611969
139,774.7147568722598
140,11389.407916683409
141,261.2305497968435
142,666.404830932951
143,-29096.677313088236
144,782.8239790026231
145,928.693872130005
146,2025.675710791783
147,-108.15437740155272
148,153.2327632606031
149,4301.947129269378
150,-336.1243445603395
151,-21.20429011161238
152,180.50137792158975
153,23.338911876628785
154,184.9272530919735
155,220.1619138791496
156,16.556560235755086
157,-169.24165036423477
158,-2990.7711828226297
159,157.42007888037475
160,-108.53475040621743
161,11.866316675958075
162,109.39169598884284
163,158.37793192090982
164,-314.3978340984851
165,66.21275789872871
166,66.65642341276177
167,366.57576682051433
168,277.779852828814
169,-410.03621055760584
170,476.94480517089465
171,242.05812236964684
172,2654.8208352159963
173,126.9585881560979
174,39.38755994020661
175,112.21552062267864
176,284.22430078424145
177,-425.67992159667733
178,184.0328730594228
179,37.82583969110637
180,260.62011198128505
181,-113.6090124701926
182,137.72174410367512
183,199.09211808126432
184,20.705209158158596
185,100.72340224383323
186,-124.9338227419874
187,-505.70918258110305
